epochs,base_lr,classifier_iteration,best_accuracy
40,0.005,40,0.733193
40,0.005,70,0.731092
40,0.005,100,0.722689
40,0.007,40,0.722689
40,0.007,70,0.72479
40,0.007,100,0.714286
40,0.009,40,0.716387
40,0.009,70,0.716387
40,0.009,100,0.72479
60,0.005,40,0.720588
60,0.005,70,0.733193
60,0.005,100,0.737395
60,0.007,40,0.720588
60,0.007,70,0.722689
60,0.007,100,0.735294
60,0.009,40,0.714286
60,0.009,70,0.726891
60,0.009,100,0.722689
80,0.005,40,0.72479
80,0.005,70,0.72479
80,0.005,100,0.72479
80,0.007,40,0.720588
80,0.007,70,0.720588
80,0.007,100,0.720588
80,0.009,40,0.722689
80,0.009,70,0.720588
80,0.009,100,0.739496
100,0.005,40,0.722689
100,0.005,70,0.716387
100,0.005,100,0.72479
100,0.007,40,0.726891
100,0.007,70,0.726891
100,0.007,100,0.720588
100,0.009,40,0.720588
100,0.009,70,0.731092
100,0.009,100,0.739496
80,0.009,70,0.718487
80,0.009,100,0.72479
80,0.011,70,0.731092
80,0.011,100,0.722689
80,0.013,70,0.726891
80,0.013,100,0.731092
100,0.009,70,0.720588
100,0.009,100,0.735294
100,0.011,70,0.733193
100,0.011,100,0.722689
100,0.013,70,0.728992
100,0.013,100,0.728992
120,0.009,70,0.728992
120,0.009,100,0.731092
120,0.011,70,0.726891
120,0.011,100,0.731092
120,0.013,70,0.726891
120,0.013,100,0.720588
200,0.009,100,0.716387
200,0.009,200,0.712185
200,0.009,300,0.728992
